date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-1,-4,1,-4,34,100,88,1.5,1014,1,2,325,12,chicago
2019-01-01 01:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-1,-4,1,-4,33,100,88,0.8,1016,1,3,326,13,chicago
2019-01-01 02:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-1,-5,1,-5,31,100,87,0.0,1018,1,4,328,14,chicago
2019-01-01 03:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-2,-5,0,-5,30,100,87,0.0,1020,0,5,329,15,chicago
2019-01-01 04:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-2,-5,-0,-5,30,100,86,0.0,1021,-0,4,335,17,chicago
2019-01-01 05:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-3,-6,-0,-6,30,100,85,0.1,1022,-0,3,342,18,chicago
2019-01-01 06:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-3,-7,-1,-7,31,100,84,0.1,1023,-1,2,348,19,chicago
2019-01-01 07:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-3,-7,-1,-7,30,100,83,0.1,1024,-1,5,350,19,chicago
2019-01-01 08:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-7,-1,-7,29,100,82,0.0,1025,-1,7,352,19,chicago
2019-01-01 09:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-7,-1,-7,28,100,81,0.0,1026,-1,10,354,19,chicago
2019-01-01 10:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-7,-1,-7,27,100,81,0.0,1026,-1,8,353,20,chicago
2019-01-01 11:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-6,-1,-6,25,100,81,0.0,1026,-1,7,352,20,chicago
2019-01-01 12:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-6,-1,-6,24,100,81,0.0,1027,-1,5,351,21,chicago
2019-01-01 13:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-6,-1,-6,23,100,82,0.0,1027,-1,5,352,21,chicago
2019-01-01 14:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-6,-1,-6,21,100,83,0.1,1027,-1,5,353,20,chicago
2019-01-01 15:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-6,-1,-6,20,100,83,0.1,1027,-1,5,354,20,chicago
2019-01-01 16:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-6,-2,-6,19,100,84,0.0,1028,-2,4,278,20,chicago
2019-01-01 17:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-6,-2,-6,19,100,84,0.1,1028,-2,3,203,19,chicago
2019-01-01 18:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-6,-2,-6,18,100,85,0.1,1028,-2,2,127,19,chicago
2019-01-01 19:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-6,-2,-6,17,100,85,0.1,1028,-2,5,159,19,chicago
2019-01-01 20:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-6,-2,-6,15,100,85,0.0,1028,-2,7,191,20,chicago
2019-01-01 21:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-6,-2,-6,14,100,85,0.0,1028,-2,10,222,20,chicago
2019-01-01 22:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-5,-2,-5,12,97,85,0.0,1027,-2,10,256,20,chicago
2019-01-01 23:00:00,-1,-2,3.0,3.4,1,26,02:58 AM,01:41 PM,07:18 AM,04:30 PM,-4,-5,-2,-5,10,95,85,0.0,1027,-2,10,291,20,chicago
2019-01-02 00:00:00,0,-7,0.3,3.4,1,19,04:01 AM,02:15 PM,07:19 AM,04:31 PM,-4,-5,-2,-5,8,92,85,0.0,1027,-2,10,325,20,chicago
2019-01-02 01:00:00,0,-7,0.3,3.4,1,19,04:01 AM,02:15 PM,07:19 AM,04:31 PM,-6,-6,-3,-6,7,94,81,0.0,1027,-4,10,306,16,chicago
2019-01-02 02:00:00,0,-7,0.3,3.4,1,19,04:01 AM,02:15 PM,07:19 AM,04:31 PM,-8,-7,-5,-7,5,96,78,0.0,1027,-5,10,287,12,chicago
2019-01-02 03:00:00,0,-7,0.3,3.4,1,19,04:01 AM,02:15 PM,07:19 AM,04:31 PM,-10,-8,-6,-8,4,98,74,0.0,1028,-7,10,268,8,chicago
