station_id,lat,lng,_persons15
2,41.8765,-87.6205,10610
3,41.8672,-87.6154,4400
4,41.8563,-87.6133,4
5,41.8741,-87.6277,17534
6,41.887,-87.6128,13502
7,41.8863,-87.6175,11749
9,41.8288,-87.6806,10755
11,41.7666,-87.5764,16908
12,41.7664,-87.5657,14636
13,41.9324,-87.6527,24576
14,41.8581,-87.6511,16109
15,41.8582,-87.6565,17823
16,41.9103,-87.6701,14715
17,41.9031,-87.6739,21418
18,41.8831,-87.6373,12474
19,41.869,-87.6591,12343
20,41.9105,-87.6531,7783
21,41.8777,-87.6548,10982
22,41.8695,-87.6555,12583
23,41.9029,-87.6377,23947
24,41.8918,-87.6206,26701
25,41.8977,-87.6235,33659
26,41.8904,-87.6175,14803
27,41.9102,-87.6435,15692
28,41.9147,-87.6433,21593
29,41.9007,-87.6626,17711
30,41.8996,-87.6677,21781
31,41.8967,-87.6357,28174
32,41.8746,-87.657,12931
33,41.8772,-87.6278,13978
34,41.9268,-87.6344,13011
35,41.8923,-87.612,11017
36,41.8777,-87.6353,10367
37,41.8794,-87.6298,13190
38,41.886,-87.6309,14342
39,41.8795,-87.6257,10756
40,41.8793,-87.632,12994
41,41.8721,-87.6295,17859
42,41.8526,-87.6265,13209
43,41.884,-87.6247,15167
44,41.8847,-87.6277,12232
45,41.8762,-87.6244,11590
46,41.8999,-87.6344,29619
47,41.8892,-87.6278,20988
48,41.8978,-87.6429,9838
49,41.8813,-87.6295,12168
50,41.8759,-87.6306,14270
51,41.8846,-87.6319,7110
52,41.886,-87.6241,17619
53,41.8947,-87.6344,26835
54,41.8964,-87.6541,10798
55,41.8673,-87.6486,9314
56,41.8887,-87.6444,13826
57,41.8671,-87.6411,2870
58,41.916,-87.6689,8601
59,41.8672,-87.626,22504
60,41.9106,-87.6494,10415
61,41.9077,-87.6726,21714
62,41.8514,-87.6188,5933
66,41.8856,-87.6418,13070
67,41.9256,-87.6537,22731
68,41.8759,-87.6408,8585
69,41.9094,-87.6777,19968
71,41.8855,-87.6523,10139
72,41.8604,-87.6258,22578
73,41.8804,-87.6427,13890
74,41.8938,-87.6417,12964
75,41.8772,-87.6394,9209
76,41.881,-87.6167,9630
77,41.8822,-87.6411,13099
80,41.8804,-87.6555,10384
81,41.8842,-87.6296,13095
84,41.8916,-87.6484,8909
85,41.901,-87.6238,33719
86,41.8964,-87.661,15488
87,41.9256,-87.6584,21063
88,41.8841,-87.6569,8987
89,41.875,-87.6331,13152
90,41.881,-87.6241,12589
91,41.8834,-87.6412,14097
92,41.8946,-87.6534,9078
93,41.9137,-87.6529,11234
94,41.9183,-87.6363,20086
95,41.7789,-87.5866,7017
96,41.8846,-87.6446,14367
97,41.8653,-87.6179,2605
98,41.8827,-87.6325,10706
99,41.8926,-87.6145,17635
100,41.8882,-87.6364,14688
101,41.781,-87.5761,461
102,41.7735,-87.5853,9453
103,41.8715,-87.6409,2811
106,41.8974,-87.6287,29566
107,41.8783,-87.6439,11048
108,41.8718,-87.6466,6535
109,41.8748,-87.6498,10016
110,41.894,-87.6293,28656
111,41.8947,-87.6384,17966
112,41.8837,-87.6487,15150
113,41.9184,-87.6522,14975
114,41.9494,-87.6545,28287
115,41.9363,-87.6527,26292
116,41.9155,-87.687,20514
117,41.9402,-87.653,26762
118,41.9114,-87.6387,24746
119,41.8859,-87.6672,6432
120,41.853,-87.6306,12045
121,41.8026,-87.5904,18538
122,41.875,-87.6733,6571
123,41.9227,-87.6972,20280
124,41.855,-87.6757,19648
125,41.8902,-87.6262,25403
126,41.912,-87.6319,23623
127,41.9259,-87.6493,27837
128,41.8958,-87.6772,20269
129,41.8576,-87.6615,19329
130,41.9033,-87.6784,18110
131,41.9394,-87.6684,21113
132,41.8501,-87.6321,11799
133,41.8892,-87.6385,16858
134,41.8776,-87.6496,14445
135,41.8538,-87.6466,7626
136,41.8651,-87.657,13660
137,41.8624,-87.6511,13670
138,41.9046,-87.6406,18843
140,41.899,-87.6299,37615
141,41.9157,-87.6346,20281
142,41.8945,-87.6179,20809
143,41.9222,-87.6389,20898
144,41.9218,-87.6441,25369
145,41.8986,-87.6219,31764
146,41.8779,-87.662,10158
147,41.8457,-87.6225,5282
148,41.8347,-87.6258,9158
149,41.8349,-87.6179,12865
150,41.8386,-87.6082,3619
152,41.9322,-87.6586,24942
153,41.9357,-87.6636,23225
154,41.9395,-87.6638,21645
156,41.9365,-87.6475,37747
157,41.9367,-87.6368,26437
158,41.9126,-87.6814,19934
159,41.9078,-87.6859,17169
160,41.9105,-87.6896,19762
161,41.8958,-87.6259,37048
162,41.9359,-87.6784,15507
163,41.9319,-87.6779,11777
164,41.8858,-87.6355,13653
165,41.9508,-87.6592,21871
166,41.9288,-87.6685,14963
167,41.8492,-87.6756,14408
168,41.8641,-87.6237,20442
169,41.8743,-87.6396,10330
170,41.858,-87.6408,4436
171,41.8551,-87.6541,11876
172,41.9023,-87.6277,37407
173,41.8969,-87.6217,29307
174,41.8821,-87.6398,11938
175,41.8726,-87.6335,13506
176,41.903,-87.6313,36389
177,41.9263,-87.6308,4475
178,41.8566,-87.6275,17476
179,41.8246,-87.6168,10649
180,41.9069,-87.6262,26278
181,41.8908,-87.6317,21966
182,41.9032,-87.6343,33951
183,41.9013,-87.6774,22012
184,41.8309,-87.628,6885
185,41.9177,-87.6914,20717
186,41.8918,-87.6588,9874
188,41.9253,-87.6658,14976
190,41.9288,-87.6639,20274
191,41.8817,-87.6395,11034
192,41.8793,-87.6399,10558
193,41.8417,-87.6269,5063
194,41.8869,-87.626,18668
195,41.8847,-87.6195,12319
196,41.8906,-87.6221,23390
197,41.8821,-87.6251,13006
198,41.8819,-87.6488,13942
199,41.8915,-87.6268,30395
200,41.8099,-87.6163,11810
201,41.8217,-87.6216,9926
202,41.8575,-87.6463,11190
203,41.8541,-87.6858,15608
204,41.7949,-87.6187,8186
205,41.8579,-87.6687,17126
206,41.8472,-87.6468,8418
207,41.8436,-87.6454,12621
208,41.8549,-87.6636,17197
209,41.8495,-87.6406,9638
210,41.9035,-87.6677,21915
211,41.8944,-87.6227,32738
212,41.8899,-87.6343,20902
213,41.9102,-87.6823,20694
214,41.8912,-87.6769,12205
215,41.8814,-87.6749,7924
216,41.903,-87.6975,16573
217,41.8866,-87.658,5996
218,41.8568,-87.6339,879
219,41.916,-87.6773,15102
220,41.9312,-87.6443,31198
222,41.9202,-87.693,17897
223,41.9182,-87.6569,13810
224,41.9139,-87.6488,13113
225,41.9199,-87.6488,20162
226,41.9397,-87.6589,24128
227,41.9482,-87.6639,18887
228,41.9406,-87.6785,17277
229,41.9437,-87.664,21431
230,41.9433,-87.671,23083
